canvas,page,label,content,width,height,ia_page
0,colour,colour,,2700,3787,n-1
1,front,front,,2694,3708,n0
2,pastedown,pastedown,,2711,3651,n1
3,flyleaf,flyleaf,,2694,3708,n2
4,flyleaf,flyleaf,,2739,3719,n3
5,i,[i],,2694,3708,n4
6,ii,[ii],,2711,3696,n5
7,iii,iii,,2694,3708,n6
8,iv,iv,,2694,3696,n7
9,v,v,,2694,3708,n8
10,vi,[vi],,2694,3696,n9
11,vii,vii,,2694,3708,n10
12,viii,viii,,2694,3696,n11
13,ix,ix,,2711,3708,n12
14,x,x,,2694,3696,n13
15,xi,xi,,2711,3708,n14
16,xii,xii,,2694,3696,n15
17,xiii,xiii,,2711,3708,n16
18,xiv,xiv,,2694,3696,n17
19,1,1,,2711,3708,1
20,2,2,,2694,3696,2
21,3,3,,2722,3719,3
22,4,4,,2717,3696,4
23,5,5,,2722,3719,5
24,6,6,,2717,3696,6
25,7,7,,2722,3719,7
26,8,8,,2717,3708,8
27,9,9,,2722,3719,9
28,10,10,,2711,3713,10
29,11,11,,2722,3719,11
30,12,[12],blank,2711,3713,12
31,13,13,,2722,3719,13
32,14,14,,2711,3713,14
33,14a,[14a],blank,2795,3725,n32
34,14b,[14b],insert,2711,3713,n33
35,14c,[14c],blank,2767,3736,n34
36,14d,[14d],insert,2711,3713,n35
37,14e,[14e],blank,2728,3725,n36
38,14f,[14f],insert,2683,3702,n37
39,15,15,,2728,3725,15
40,16,16,,2683,3702,16
41,16a,[16a],blank,2767,3758,n40
42,16b,[16b],insert,2683,3702,n41
43,17,17,,2728,3725,17
44,18,18,,2683,3702,18
45,18a,[18a],insert,2728,3725,n44
46,18b,[18b],blank,2683,3702,n45
47,18c,[18c],insert,2705,3736,n46
48,18d,[18d],insert,2666,3708,n47
49,18e,[18e],insert,2683,3719,n48
50,18f,[18f],insert,2666,3702,n49
51,19,19,,2683,3719,19
52,20,20,,2666,3702,20
53,20a,[20a],insert,2683,3719,n52
54,20b,[20b],blank,2666,3702,n53
55,20c,[20c],blank,2683,3719,n54
56,20d,[20d],insert,2632,3696,n55
57,20e,[20e],blank,2683,3719,n56
58,20f,[20f],insert,2654,3708,n57
59,21,21,,2683,3719,21
60,22,22,,2654,3708,22
61,22a,[22a],insert,2683,3719,n60
62,22b,[22b],blank,2654,3708,n61
63,23,23,,2683,3719,23
64,24,24,,2654,3708,24
65,24a,[24a],blank,2683,3719,n64
66,24b,[24b],insert,2654,3708,n65
67,25,25,,2683,3719,25
68,26,26,,2654,3708,26
69,26a,[26a],blank,2643,3753,n68
70,26b,[26b],insert,2654,3708,n69
71,27,27,,2660,3719,27
72,28,28,,2654,3708,28
73,29,29,,2677,3719,29
74,30,30,,2654,3702,30
75,31,31,,2677,3719,31
76,32,32,,2654,3702,32
77,32a,[32a],insert,2677,3719,n76
78,32b,[32b],blank,2654,3702,n77
79,32c,[32c],insert,2739,3804,n78
80,32d,[32d],insert,2654,3702,n79
81,32e,[32e],blank,2677,3719,n80
82,32f,[32f],insert,2654,3702,n81
83,33,33,,2677,3719,33
84,34,34,,2626,3691,34
85,34a,[34a],insert,2677,3719,n84
86,34b,[34b],blank,2638,3691,n85
87,35,35,,2677,3719,35
88,36,36,,2638,3691,36
89,36a,[36a],blank,2677,3719,n88
90,36b,[36b],insert,2660,3713,n89
91,37,37,,2677,3719,37
92,38,38,,2660,3713,38
93,39,39,,2677,3719,39
94,40,40,,2660,3713,40
95,41,41,,2677,3719,41
96,42,42,,2660,3713,42
97,42a,[42a],blank,2560,3692,n96
98,42b,[42b],insert,2609,3725,n97
99,42c,[42c],blank,2677,3719,n98
100,42d,[42d],insert,2638,3702,n99
101,43,43,,2677,3719,43
102,44,44,,2638,3702,44
103,44a,[44a],insert,2677,3719,n102
104,44b,[44b],blank,2621,3702,n103
105,44c,[44c],insert,2638,3725,n104
106,44d,[44d],blank,2621,3702,n105
107,44e,[44e],insert,2638,3708,n106
108,44f,[44f],blank,2604,3691,n107
109,44g,[44g],insert,2638,3708,n108
110,44h,[44h],blank,2649,3713,n109
111,45,45,,2671,3719,45
112,46,46,,2654,3702,46
113,47,47,,2671,3719,47
114,48,48,,2632,3696,48
115,48a,[48a],insert,2671,3719,n114
116,48b,[48b],blank,2632,3696,n115
117,48c,[48c],insert,2671,3719,n116
118,48d,[48d],blank,2615,3680,n117
119,48e,[48e],insert,2649,3708,n118
120,48f,[48f],blank,2615,3680,n119
121,48g,[48g],insert,2649,3708,n120
122,48h,[48h],blank,2615,3680,n121
123,49,49,,2660,3725,49
124,50,50,,2632,3702,50
125,51,51,,2660,3725,51
126,52,52,,2632,3702,52
127,53,53,,2660,3725,53
128,54,54,,2632,3702,54
129,54a,[54a],insert,2660,3725,n128
130,54b,[54b],blank,2632,3702,n129
